crue,tau_h,H_obs,H_pred,err_pic_cm,decal_pic_h,biais_cm,rmse_cm
2015-01-17,14.8,0.97,0.997,2.7,-3.7,0.2,3.7
2017-03-06,14.8,0.977,1.031,5.4,-6.2,1.9,6.0
2012-11-04,13.9,1.029,1.147,11.8,1.7,3.8,5.3
2021-12-29,14.3,1.066,1.089,2.3,170.7,-4.2,9.8
2024-05-22,11.3,1.066,1.616,55.0,-12.2,4.7,15.7
2018-06-11,14.1,1.074,1.115,4.1,24.2,-1.2,6.5
2013-11-10,12.7,1.139,1.322,18.3,-2.7,2.6,5.8
2018-01-21,13.1,1.228,1.253,2.5,0.7,0.9,5.6
2019-11-04,11.0,1.307,1.685,37.8,-4.2,7.4,12.4
2020-12-28,12.0,1.48,1.46,-2.0,-0.2,-1.4,5.7
2024-03-03,10.7,1.576,1.745,16.9,-0.7,0.7,5.3
2012-10-22,10.8,1.588,1.723,13.5,0.5,-2.5,11.9
2018-12-22,11.1,1.644,1.653,0.9,1.8,-0.2,6.6
2023-01-16,11.0,1.647,1.685,3.8,-3.5,-0.1,4.6
2013-12-25,10.5,1.686,1.816,13.0,-2.2,1.7,7.4
2013-02-11,10.9,1.686,1.7,1.4,2.2,-1.4,6.0
2016-02-10,10.8,1.736,1.732,-0.4,-0.3,-0.3,4.4
2023-11-05,10.0,1.858,1.963,10.5,-1.7,-4.1,9.7
2021-02-02,11.0,1.942,1.688,-25.4,-1.0,-9.4,13.8
2024-10-10,9.0,2.095,2.333,23.8,0.0,4.4,8.9
2011-12-17,8.5,2.231,2.538,30.7,-1.0,-3.2,9.6
2020-03-06,9.0,2.276,2.348,7.2,-1.5,-4.4,15.3
2014-02-14,8.4,2.536,2.979,44.3,-1.3,-1.8,10.3
2024-01-03,8.5,2.56,2.57,1.0,4.2,-5.5,12.1
2024-02-23,8.4,2.615,2.583,-3.2,4.2,-3.2,9.1
2026-02-12,8.4,2.627,2.599,-2.8,0.2,-13.6,20.3
2025-01-10,8.6,2.637,2.494,-14.3,-5.0,-5.7,8.3
