crue,h_pic_m,retard_h,celerite_ms,r
2024-05-22,1.066,4.08,1.707,0.705
2019-11-04,1.307,4.83,1.443,0.857
2020-12-28,1.48,3.58,1.946,0.704
2024-03-03,1.576,4.25,1.641,0.952
2023-01-16,1.647,5.0,1.394,0.893
2013-02-11,1.686,3.67,1.902,0.773
2013-12-25,1.686,3.0,2.324,0.623
2016-02-10,1.736,4.92,1.418,0.667
2023-11-05,1.858,5.5,1.268,0.824
2021-02-02,1.942,5.17,1.349,0.816
2024-10-10,2.095,5.08,1.372,0.848
2011-12-17,2.231,3.67,1.902,0.611
2014-02-14,2.536,4.17,1.673,0.82
2024-02-23,2.615,5.25,1.328,0.824
2026-02-12,2.627,4.17,1.673,0.814
2025-01-10,2.637,4.17,1.673,0.787
