crue,h_pic_m,q_pic_amont_m3s,retard_correlation_h,retard_pics_h,retard_h,r
2012-11-04,1.029,35.8,13.0,12.17,12.58,0.698
2019-11-04,1.307,73.1,11.33,15.17,13.25,0.923
2024-03-03,1.576,79.0,11.5,11.33,11.42,0.983
2018-12-22,1.644,79.3,11.0,11.33,11.17,0.72
2023-01-16,1.647,78.4,11.5,15.17,13.33,0.886
2013-02-11,1.686,80.4,10.67,8.67,9.67,0.828
2013-12-25,1.686,89.8,12.17,12.67,12.42,0.828
2016-02-10,1.736,84.7,11.17,11.17,11.17,0.87
2023-11-05,1.858,100.1,12.33,11.67,12.0,0.957
2021-02-02,1.942,79.1,11.67,12.0,11.83,0.753
2024-10-10,2.095,132.4,11.33,9.0,10.17,0.952
2011-12-17,2.231,154.6,9.83,9.5,9.67,0.852
2020-03-06,2.276,143.1,9.67,10.5,10.08,0.715
2014-02-14,2.536,186.5,9.67,9.83,9.75,0.926
2024-01-03,2.56,161.6,8.17,12.17,10.17,0.92
2024-02-23,2.615,154.0,8.17,4.17,6.17,0.919
2026-02-12,2.627,157.4,11.17,9.17,10.17,0.785
