episode,h_pic,table_median_cm,ancienne_median_cm,table_pic_cm,ancienne_pic_cm
2011-12-17,2.23,-2.1,-4.1,30.4,12.8
2012-10-22,1.59,1.9,-0.4,13.6,2.0
2012-11-04,1.03,3.2,0.8,11.1,6.8
2013-02-11,1.69,-0.1,-3.1,0.3,-11.0
2013-11-10,1.14,1.2,-1.5,17.7,8.5
2013-12-25,1.69,2.1,-0.4,12.7,2.3
2014-02-14,2.54,-1.8,-5.9,22.9,21.5
2015-01-17,0.97,-0.7,-2.9,2.6,-1.6
2016-02-10,1.74,0.6,-2.8,-0.6,-10.8
2017-03-06,0.98,2.5,-0.5,4.5,0.4
2018-01-21,1.23,2.4,-1.4,1.4,-4.4
2018-06-11,1.07,-1.2,-1.9,-16.2,-20.7
2018-12-22,1.64,1.4,-1.4,0.6,-11.1
2019-11-04,1.31,7.3,3.9,32.3,20.5
2020-03-06,2.28,0.2,-6.4,0.9,-10.5
2020-12-28,1.48,-0.8,-3.4,-1.9,-13.2
2021-02-02,1.94,-5.2,-9.5,-28.9,-37.6
2021-12-29,1.07,-2.7,-4.7,-1.1,-5.2
2023-01-16,1.65,0.0,-3.0,-3.6,-15.7
2023-11-05,1.86,-2.9,-6.7,15.4,3.9
2024-01-03,2.56,-1.2,-5.0,2.2,-19.0
2024-02-23,2.62,-0.6,-3.6,-11.7,-28.2
2024-03-03,1.58,0.2,-3.4,17.9,6.6
2024-05-22,1.07,1.9,-0.1,33.7,23.0
2024-10-10,2.1,2.5,0.2,26.2,8.7
2025-01-10,2.64,-2.8,-5.6,-19.0,-33.9
2026-02-12,2.63,-6.5,-11.6,-3.2,-21.1
etiage-2012,0.68,3.5,2.9,-10.4,-10.9
etiage-2013,0.59,3.4,3.0,-2.5,-2.9
etiage-2014,0.78,1.2,0.5,-8.9,-11.1
etiage-2015,0.81,1.2,0.6,-1.7,-4.8
etiage-2016,0.58,3.6,3.0,-1.6,-2.5
etiage-2018,0.59,1.6,1.2,-2.7,-3.0
etiage-2019,0.6,4.1,0.9,-2.0,-4.7
etiage-2020,0.68,-2.5,-1.6,-13.4,-12.4
etiage-2021,0.63,-2.7,-2.1,-6.7,-7.0
etiage-2022,0.6,4.1,0.1,-3.5,-4.8
etiage-2023,0.63,-2.0,-1.3,-3.6,-4.2
etiage-2024,0.91,-0.3,-0.6,12.8,8.8
etiage-2025,0.65,-4.7,-4.2,-10.1,-9.6
