instant_utc,debit_m3s
2026-08-09T11:03:20Z,0.06
2026-08-09T11:16:40Z,0.06
2026-08-09T11:46:40Z,0.06
2026-08-09T12:13:20Z,0.059
2026-08-09T12:50:00Z,0.058
2026-08-09T13:13:20Z,0.056
2026-08-09T13:36:40Z,0.052
2026-08-09T13:50:00Z,0.051
2026-08-09T14:03:20Z,0.051
2026-08-09T14:20:00Z,0.054
2026-08-09T14:36:40Z,0.054
2026-08-09T14:50:00Z,0.052
2026-08-09T15:03:20Z,0.053
2026-08-09T15:16:40Z,0.052
2026-08-09T15:33:20Z,0.053
2026-08-09T15:46:40Z,0.052
2026-08-09T16:00:00Z,0.053
2026-08-09T16:10:00Z,0.051
2026-08-09T16:20:00Z,0.053
2026-08-09T16:40:00Z,0.051
2026-08-09T17:00:00Z,0.052
2026-08-09T17:20:00Z,0.048
2026-08-09T17:30:00Z,0.049
2026-08-09T17:50:00Z,0.049
2026-08-09T18:10:00Z,0.051
2026-08-09T18:30:00Z,0.051
2026-08-09T18:56:40Z,0.05
2026-08-09T19:23:20Z,0.051
2026-08-09T19:53:20Z,0.05
2026-08-09T20:13:20Z,0.051
2026-08-09T20:36:40Z,0.049
2026-08-09T21:00:00Z,0.049
2026-08-09T21:16:40Z,0.048
2026-08-09T21:36:40Z,0.048
2026-08-09T22:13:20Z,0.049
2026-08-09T23:43:20Z,0.048
2026-08-10T01:10:00Z,0.05
2026-08-10T02:16:40Z,0.05
2026-08-10T02:30:00Z,0.051
2026-08-10T02:43:20Z,0.05
2026-08-10T03:13:20Z,0.049
2026-08-10T03:46:40Z,0.048
2026-08-10T04:20:00Z,0.048
2026-08-10T04:36:40Z,0.049
2026-08-10T04:50:00Z,0.048
2026-08-10T05:13:20Z,0.048
2026-08-10T05:36:40Z,0.048
2026-08-10T06:00:00Z,0.048
2026-08-10T06:10:00Z,0.049
2026-08-10T06:30:00Z,0.048
2026-08-10T07:00:00Z,0.05
2026-08-10T07:33:20Z,0.049
2026-08-10T08:16:40Z,0.049
2026-08-10T08:53:20Z,0.049
2026-08-10T09:26:40Z,0.05
2026-08-10T09:43:20Z,0.051
2026-08-10T10:06:40Z,0.05
2026-08-10T10:33:20Z,0.05
2026-08-10T10:56:40Z,0.048
2026-08-10T11:10:00Z,0.048
2026-08-10T11:26:40Z,0.048
2026-08-10T11:56:40Z,0.048
2026-08-10T12:26:40Z,0.048
2026-08-10T12:56:40Z,0.046
2026-08-10T13:13:20Z,0.048
2026-08-10T13:40:00Z,0.048
2026-08-10T14:06:40Z,0.046
2026-08-10T14:33:20Z,0.046
2026-08-10T15:00:00Z,0.047
2026-08-10T15:23:20Z,0.046
2026-08-10T16:20:00Z,0.047
2026-08-10T18:56:40Z,0.046
2026-08-10T20:50:00Z,0.047
2026-08-10T21:40:00Z,0.046
2026-08-10T22:33:20Z,0.047
2026-08-11T00:23:20Z,0.046
2026-08-11T01:56:40Z,0.047
