instant_utc,niveau_ngf
2026-08-01T00:00:00Z,43.322
2026-08-01T01:00:00Z,43.319
2026-08-01T02:00:00Z,43.318
2026-08-01T03:00:00Z,43.319
2026-08-01T04:00:00Z,43.319
2026-08-01T05:00:00Z,43.32
2026-08-01T06:00:00Z,43.318
2026-08-01T07:00:00Z,43.317
2026-08-01T08:00:00Z,43.317
2026-08-01T09:00:00Z,43.317
2026-08-01T10:00:00Z,43.317
2026-08-01T11:00:00Z,43.319
2026-08-01T12:00:00Z,43.318
2026-08-01T13:00:00Z,43.319
2026-08-01T14:00:00Z,43.321
2026-08-01T15:00:00Z,43.326
2026-08-01T16:00:00Z,43.326
2026-08-01T17:00:00Z,43.329
2026-08-01T18:00:00Z,43.33
2026-08-01T19:00:00Z,43.331
2026-08-01T20:00:00Z,43.335
2026-08-01T21:00:00Z,43.337
2026-08-01T22:00:00Z,43.338
2026-08-01T23:00:00Z,43.338
2026-08-02T00:00:00Z,43.336
2026-08-02T01:00:00Z,43.335
2026-08-02T02:00:00Z,43.339
2026-08-02T03:00:00Z,43.339
2026-08-02T04:00:00Z,43.341
2026-08-02T05:00:00Z,43.346
2026-08-02T06:00:00Z,43.349
2026-08-02T07:00:00Z,43.347
2026-08-02T08:00:00Z,43.35
2026-08-02T09:00:00Z,43.353
2026-08-02T10:00:00Z,43.356
2026-08-02T11:00:00Z,43.358
2026-08-02T12:00:00Z,43.36
2026-08-02T13:00:00Z,43.361
2026-08-02T14:00:00Z,43.363
2026-08-02T15:00:00Z,43.367
2026-08-02T16:00:00Z,43.368
2026-08-02T17:00:00Z,43.372
2026-08-02T18:00:00Z,43.376
2026-08-02T19:00:00Z,43.381
2026-08-02T20:00:00Z,43.382
2026-08-02T21:00:00Z,43.381
2026-08-02T22:00:00Z,43.383
2026-08-02T23:00:00Z,43.383
2026-08-03T00:00:00Z,43.381
2026-08-03T01:00:00Z,43.383
2026-08-03T02:00:00Z,43.382
2026-08-03T03:00:00Z,43.385
2026-08-03T04:00:00Z,43.386
2026-08-03T05:00:00Z,43.385
2026-08-03T06:00:00Z,43.387
2026-08-03T07:00:00Z,43.386
2026-08-03T08:00:00Z,43.386
2026-08-03T09:00:00Z,43.38
2026-08-03T10:00:00Z,43.378
2026-08-03T11:00:00Z,43.378
2026-08-03T12:00:00Z,43.376
2026-08-03T13:00:00Z,43.374
2026-08-03T14:00:00Z,43.374
2026-08-03T15:00:00Z,43.372
2026-08-03T16:00:00Z,43.374
2026-08-03T17:00:00Z,43.375
2026-08-03T18:00:00Z,43.377
2026-08-03T19:00:00Z,43.375
2026-08-03T20:00:00Z,43.375
2026-08-03T21:00:00Z,43.374
2026-08-03T22:00:00Z,43.369
2026-08-03T23:00:00Z,43.367
2026-08-04T00:00:00Z,43.363
2026-08-04T01:00:00Z,43.361
2026-08-04T02:00:00Z,43.358
2026-08-04T03:00:00Z,43.354
2026-08-04T04:00:00Z,43.354
2026-08-04T05:00:00Z,43.353
2026-08-04T06:00:00Z,43.352
2026-08-04T07:00:00Z,43.349
2026-08-04T08:00:00Z,43.347
2026-08-04T09:00:00Z,43.345
2026-08-04T10:00:00Z,43.343
2026-08-04T11:00:00Z,43.343
2026-08-04T12:00:00Z,43.341
2026-08-04T13:00:00Z,43.339
2026-08-04T14:00:00Z,43.34
2026-08-04T15:00:00Z,43.338
2026-08-04T16:00:00Z,43.338
2026-08-04T17:00:00Z,43.334
2026-08-04T18:00:00Z,43.335
2026-08-04T19:00:00Z,43.331
2026-08-04T20:00:00Z,43.333
2026-08-04T21:00:00Z,43.328
2026-08-04T22:00:00Z,43.325
2026-08-04T23:00:00Z,43.323
2026-08-05T00:00:00Z,43.322
2026-08-05T01:00:00Z,43.32
2026-08-05T02:00:00Z,43.321
2026-08-05T03:00:00Z,43.319
2026-08-05T04:00:00Z,43.319
2026-08-05T05:00:00Z,43.32
2026-08-05T06:00:00Z,43.318
2026-08-05T07:00:00Z,43.317
2026-08-05T08:00:00Z,43.315
2026-08-05T09:00:00Z,43.312
2026-08-05T10:00:00Z,43.311
2026-08-05T11:00:00Z,43.31
2026-08-05T12:00:00Z,43.311
2026-08-05T13:00:00Z,43.307
2026-08-05T14:00:00Z,43.306
2026-08-05T15:00:00Z,43.309
2026-08-05T16:00:00Z,43.307
2026-08-05T17:00:00Z,43.309
2026-08-05T18:00:00Z,43.305
2026-08-05T19:00:00Z,43.306
2026-08-05T20:00:00Z,43.306
2026-08-05T21:00:00Z,43.306
2026-08-05T22:00:00Z,43.302
2026-08-05T23:00:00Z,43.302
2026-08-06T00:00:00Z,43.299
2026-08-06T01:00:00Z,43.298
2026-08-06T02:00:00Z,43.295
2026-08-06T03:00:00Z,43.294
2026-08-06T04:00:00Z,43.293
2026-08-06T05:00:00Z,43.293
2026-08-06T06:00:00Z,43.291
2026-08-06T07:00:00Z,43.291
2026-08-06T08:00:00Z,43.291
2026-08-06T09:00:00Z,43.288
2026-08-06T10:00:00Z,43.29
2026-08-06T11:00:00Z,43.287
2026-08-06T12:00:00Z,43.287
2026-08-06T13:00:00Z,43.29
2026-08-06T14:00:00Z,43.29
2026-08-06T15:00:00Z,43.291
2026-08-06T16:00:00Z,43.293
2026-08-06T17:00:00Z,43.297
2026-08-06T18:00:00Z,43.296
